,Text,Speaker,Party
22,"... Of course there will be a limit, but when today you have massive levels of income and wealth inequality, when the middle class is disappearing, you have the highest rate of child poverty of almost any major country on Earth. Yes, in my view, the government of a democratic society has a moral responsibility to play a vital role in making sure all of our people have a decent standard of living.",Sanders,Democratic
23,"Judy, I think that the best analysis that I've seen based on Senator Sanders plans is that it would probably increase the size of the federal government by about 40%, but what is most concerning to me is that in looking at the plans -- let's take healthcare for example. Last week in a CNN town hall, the Senator told a questioner that the questioner would spend about $500 dollars in taxes to get about $5,000 dollars in healthcare. Every progressive economist who has analyzed that says that the numbers don't add up, and that's a promise that cannot be kept, and it's really important now that we are getting into the rest of the country that both of us are held to account for explaining what we are proposing because, especially with healthcare, this is not about math. This is about people's lives, and we should level with the American people about what we can do to make sure they get quality affordable healthcare.",Clinton,Democratic
24,"Well, let us level with the American people. Secretary Clinton has been going around the country saying Bernie Sanders wants to dismantle the Affordable Care Act, people are going to lose their MedicAid, they're going to lose their CHIP program. I have fought my entire life to make sure that healthcare is a right for all people. We're not going to dismantle everything. But, here is the truth. Twenty-nine million people have no health insurance today in America. We pay, by far, the highest prices in the world for prescription drugs. One out of five Americans can't even afford the prescriptions their doctors are writing. Millions of people have high deductibles and co-payments. What I said, and let me repeat it, I don't know what economists Secretary Clinton is talking to, but what I have said, and let me repeat it, that yes, the middle -- the family right in the middle of the economy would pay $500 dollars more in taxes, and get a reduction in their healthcare costs of $5,000 dollars. In my view healthcare is a right of all people, not a privilege, and I will fight for",Sanders,Democratic
25,,,
26,"I can only say that we both share the goal of universal health care coverage. You know, before it was called Obamacare, it was called Hillarycare. And I took on the drug companies and I took on the insurance companies to try to get us universal health care coverage.",Clinton,Democratic
27,,,
28,"And why I am a staunch supporter of President Obama's principal accomplishment -- namely the Affordable Care Act -- is because I know how hard it was to get that done. We are at 90 percent coverage. We have to get the remaining 10. I've set forth very specific plans about how to get costs down, especially prescription drug costs. And it is difficult to in any way argue with the goal that we both share. But I think the American people deserve to know specifically how this would work. If it's Medicare for all, then you no longer have the Affordable Care Act, because the Affordable Care Act, as you know very well, is based on the insurance system, based on exchanges, based on a subsidy system. The Children's Health Insurance Program, which I helped to create, which covers 8 million kids, is also a different kind of program. So if you're having Medicare for all, single-payer, you need to level with people about what they will have at the end of the process you are proposing. And based on every analysis that I can find by people who are sympathetic to the goal, the numbers don't add up, and many people will actually be worse off than they are right now.",Clinton,Democratic
29,,,
30,"That is absolutely inaccurate. Look, here is the reality, folks. There is one major country on Earth that does not guarantee health care to all people. There is one major country -- the United States -- which ends up spending almost three times per capita what they do in the U.K. guaranteeing health care to all people, 50 percent more than they do in France guaranteeing health care to all people, far more than our Canadian neighbors, who guarantee health care to all people. Please do not tell me that in this country, if -- and here's the if -- we have the courage to take on the drug companies, and have the courage to take on the insurance companies, and the medical equipment suppliers, if we do that, yes, we can guarantee health care to all people in a much more cost effective way.",Sanders,Democratic
31,"Well, let me just -- let me just say, once",Clinton,Democratic
32,,,
33,"...that, having been in the trenches fighting for this, I believe strongly we have to guarantee health care. I believe we are on the path to doing that. The last thing we need is to throw our country into a contentious debate about health care again. And we are not England. We are not France. We inherited a system that was set up during World War II; 170 million Americans get health insurance right now through their employers. So what we have tried to do and what President Obama succeeded in doing was to build on the health care system we have, get us to 90 percent coverage. We have to get the other 10 percent of the way to 100. I far prefer that and the chances we have to be successful there than trying to start all over again, gridlocking our system, and trying to get from zero to 100 percent.",Clinton,Democratic
34,,,
35,,,
36,"No. But it is absolutely fair and necessary for Americans to vet both of our proposals, to ask the really hard questions about, what is it we think we can accomplish, why do we believe that, and what would be the results for the average American family? In my case, whether it's health care, or getting us to debt-free tuition, or moving us toward paid family leave, I have been very specific about where I would raise the money, how much it would cost, and how I would move this agenda forward. I've tried to be as specific to answer questions so that my proposals can be vetted, because I feel like we have to level with people for the very reason, Gwen, that you are mentioning. There is a great deal of skepticism about the federal government. I'm aware of that. It comes from the right, from the left, from people on all sides of the political spectrum. So we have a special obligation to make clear what we stand for, which is why I think we should not make promises we can't keep, because that will further, I think, alienate Americans from understanding and believing we can together make some real changes in people's lives.",Clinton,Democratic
37,,,
38,,,
39,"I will put a price tag. My price tag is about $100 billion a year. And again, paid for. And what I have said is I will not throw us further into debt. I believe I can get the money that I need by taxing the wealthy, by closing loopholes, the things that we are way overdue for doing. And I think once I'm in the White House we will have enough political capital to be able to do that. But I am conscious of the fact that we have to also be very clear, especially with young people, about what kind of government is going to do what for them and what it will cost.",Clinton,Democratic
40,,,
41,"Well, Secretary Clinton, you're not in the White House yet. And let us be clear that every proposal that I have introduced has been paid for. For example, all right, who in America denies that we have an infrastructure that is crumbling? Roads, bridges, water systems, wastewater plants, who denies that? Who denies that real unemployment today, including those who have given up looking for work and are working part-time is close to 10 percent? Who denies that African-American youth unemployment, real, is over 50 percent. We need to create jobs. So yes, I will do away with the outrageous loopholes that allow profitable multinational corporations to stash billions of dollars in the Cayman Islands and Bermuda and in a given year pay zero, zero in federal income tax. Yes, I'm going to do away with that. We will use those proceeds, a hundred billion a year, to invest in rebuilding our infrastructure. Yes, I believe that as a result of the illegal behavior on Wall Street, that they are a Wall Street that drove this country into the worst economic downturn since the Great Recession -- Great Depression. Yes, I do believe that now after the American people bailed Wall Street out, yes, they should pay a Wall Street speculation tax so that we can make public colleges and universities tuition-free. We bailed them out. Now it is their time to help the middle class.",Sanders,Democratic
42,,,
43,"You know, I think, again, both of us share the goal of trying to make college affordable for all young Americans. And I have set forth a compact that would do just that for debt-free tuition. We differ, however, on a couple of key points. One of them being that if you don't have some agreement within the system from states and from families and from students, it's hard to get to where we need to go. And Senator Sanders's plan really rests on making sure that governors like Scott Walker contribute $23 billion on the first day to make college free. I am a little skeptical about your governor actually caring enough about higher education to make any kind of commitment like that.",Clinton,Democratic
44,,,
45,,,
46,A brief response.,Sanders,Democratic
47,,,
48,"Here is where we are with public education. A 100, 150 years ago incredibly brave Americans said, you know what, working class kids, low income kids should not have to work in factories or on the farms. Like rich kids, they deserve to get a free education. And that free education of extraordinary accomplishment was from first grade to 12th grade. The world has changed. This is 2016. In many ways, a college degree today is equivalent to what a high school degree was 50, 60 years ago. So, yes, I do believe that when we talk about public education in America, today, in a rapidly changing world, we should have free tuition at public colleges and universities. That should be a right of all Americans regardless of the income of their families.",Sanders,Democratic
49,,,
50,,,
51,"Well, first, Judy, I have spent my entire adult life working toward making sure that women are empowered to make their own choices, even if that choice is not to vote for me. I believe that it's most important that we unleash the full potential of women and girls in our society. And I feel very strongly that I have an agenda, I have a record that really does respond to a lot of the specific needs that the women in our country face. So I'm going to keep making that case. I'm going to keep making sure that everything I've done, everything that I stand for is going to be well known. But I have no argument with anyone making up her mind about who to support. I just hope that by the end of this campaign there will be a lot more supporting me. That's what I'm working towards.",Clinton,Democratic
52,,,
53,,,
54,"Well, look, I think that she's been saying that for as long as I've known her, which is about 25 years. But it doesn't change my view that we need to empower everyone, women and men, to make the best decisions in their minds that they can make. That's what I've always stood for. And when it comes to the issues that are really on the front lines as to whether we're going to have equal pay, paid family leave, some opportunity for, you know, women to go as far as their hard work and talent take them, I think that we still have some barriers to knock down, which is why that's at the core of my campaign. I would note, just for a historic aside, somebody told me earlier today we've had like 200 presidential primary debates, and this is the first time there have been a majority of women on the stage. So, you know, we'll take our progress wherever we can find it.",Clinton,Democratic
55,,,
56,,,
57,,,
58,"Look, we are fighting for every vote that we can get from women, from men, straight, gay, African-Americans, Latinos, Asian-Americans. We are trying to bring America together around an agenda that works for working families and the middle class. I am very proud, if my memory is not correct -- I think I am -- that I have a lifetime -- and I've been in Congress a few years -- a lifetime 100 percent pro-choice voting record. I am very proud that over the years we have had the support in my state of Vermont from very significant majorities of women. I'm very proud that I support legislation that is currently in the Congress, got support of almost all progressive Democrats in the House and Senate, which says we will end the absurdity of women today making 79 cents on the dollar compared to men. And we will join the rest of the other -- the industrialized world in saying that paid family and medical leave should be a right of all working families.",Sanders,Democratic
59,,,
60,,,
61,"Well, you know, I think, from a historical point of view, somebody with my background, somebody with my views, somebody who has spent his entire life taking on the big money interests, I think a Sanders victory would be of some historical accomplishment, as well.",Sanders,Democratic
62,,,
63,"You know, I have said -- I have said many times, you know, I'm not asking people to support me because I'm a woman. I'm asking people to support me because I think I'm the most qualified, experienced, and ready person to be the president and the commander-in-chief.",Clinton,Democratic
64,,,
65,"And I appreciate greatly Senator Sanders' voting record. And I was very proud to get the endorsement of the Planned Parenthood Action Fund, because I've been a leader on these issues. I have gone time and time again to take on the vested interests who would keep women's health care decisions the province of the government instead of women ourselves. I'm very proud that NARAL endorsed me because when it comes to it we need a leader on women's issues. Somebody who, yes, votes right, but much more than that, leads the efforts to protect the hard-fought gains that women have made, that, make no mistake about it, are under tremendous attack, not just by the Republican presidential candidates but by a whole national effort to try to set back women's rights. So I'm asking women, I'm asking men, to support me because I'm ready to go into the White House on January 20th, 2017 and get to work on both domestic and foreign policy challenges.",Clinton,Democratic
66,,,
67,,,
68,"Let me concur with the secretary, no question women's rights are under fierce attack all over this country. And I will tell you something that really galls me. I will not shock anybody to suggest that in politics there is occasionally a little bit of hypocrisy. Just a little bit. All over this country we have Republican candidates for president saying we hate the government. Government is the enemy. We're going to cut Social Security to help you. We're going to cut Medicare and Medicaid, federal aid to education to help you, because the government is so terrible. But, by the way, when it comes to a woman having to make a very personal choice, ah, in that case, my Republican colleagues love the government and want the government to make that choice for every woman in America. If that's not hypocrisy, I don't know what hypocrisy is.",Sanders,Democratic
69,,,
70,,,
71,This is one of the great tragedies in our country today. And we can no longer continue to sweep it under the rug. It has to be dealt with. Today a male African-American baby born today stands a one-in-four chance of ending up in jail. That is beyond unspeakable. So what we have to do is the radical reform of a broken criminal justice system.,Sanders,Democratic
72,,,
73,"What we have to do is end over-policing in African-American neighborhoods. The reality is that both the African-American community and the white community do marijuana at about equal rates. The reality is four times as many blacks get arrested for marijuana. Truth is that far more blacks get stopped for traffic violations. The truth is that sentencing for blacks is higher than for whites. We need fundamental police reform, clearly, clearly, when we talk about a criminal justice system. I would hope that we could all agree that we are sick and tired of seeing videos on television of unarmed people, often African-Americans, shot by police officers. What we have got to do is make it clear that any police officer who breaks the law will, in fact, be held accountable.",Sanders,Democratic
74,,,
75,"You know, I completely agree with Senator Sanders. The first speech I gave in this campaign back in April was about criminal justice reform and ending the era of mass incarceration. The statistics from Wisconsin are particularly troubling, because it is the highest rate of incarceration for African-Americans in our nation, twice the national average. And we know of the tragic, terrible event that lead to the death of Dontre Hamilton right here in Milwaukee, a young man unarmed, who should still be with us. His family certainly believes that. And so do I. So we have work to do. There have been some good recommendations about what needs to happen. President Obama's policing commission came out with some. I have fully endorsed those. But we have to restore policing that will actually protect the communities that police officers are sworn to protect. And, then we have to go after sentencing, and that's one of the problems here in Wisconsin because so much of what happened in the criminal justice system doesn't happen at the federal level, it happens at the state and local level. But, I would also add this. There are other racial discrepancies. Really systemic racism in this state, as in others, education, in employment, in the kinds of factors that too often lead from a position where young people, particularly young men, are pushed out of school early, are denied employment opportunities. So, when we talk about criminal justice reform, and ending the era of mass incarceration, we also have to talk about jobs, education, housing, and other ways of helping communities.",Clinton,Democratic
76,,,
77,"Nothing that Secretary Clinton said do I disagree with. This mandatory sentencing, a very bad idea. It takes away discretion from judges. We have got to demilitarize local police departments so they do not look like occupying armies.",Sanders,Democratic
78,,,
79,"We have got to make sure that local police departments look like the communities they serve in their diversity. And, where we are failing abysmally is in the very high rate of recidivism we see. People are being released from jail without the education, without the job training, without the resources that they need to get their lives together, then they end up -- we're shocked that they end up back in jail again. So, we have a lot of work to do. But, here is a pledge I've made throughout this campaign, and it's really not a very radical pledge. When we have more people in jail, disproportionately African American and Latino, than China does, a communist authoritarian society four times our size. Here's my promise, at the end of my first term as president we will not have more people in jail than any other country. We will invest in education, and jobs for our kids, not incarceration and more jails.",Sanders,Democratic
80,,,
81,,,
82,"Well, I'm just not sure I agree completely with that assessment. I think under President Obama we have seen a lot of advances, the Affordable Care Act has helped more African Americans than any other group to get insurance, to be taken care of, but we also know a lot more than we did. We have a lot more social media, we have everybody with a cellphone. So, we are seeing the dark side of the remaining systemic racism that we have to root out in our society. I think President Obama has set a great example. I think he has addressed a lot of these issues that have been quite difficult, but he has gone forward. Now, what we have to do is to build on an honest conversation about where we go next. We now have much more information about what must be done to fix our criminal justice system. We now have some good models about how better to provide employment, housing and education. I think what President Obama did was to exemplify the importance of this issue as our first African American president, and to address it both from the President's office, and through his advocacy, such as working with young men, and Mrs. Obama's work with young women. But, we can't rest. We have work to do, and we now know a lot more than we ever did before. So, it's going to be my responsibility to make sure we move forward to solve these problems that are now out in the open. Nobody can deny them. To use the Justice Department, as we just saw, they have said they are going to sue Ferguson, that entered into a consent agreement, and then tried to back out. So, we're going to enforce the law, we're going to change policing practices, we're going to change incarceration practices, but we're also going to emphasize education, jobs, and",Clinton,Democratic
83,,,
84,,,
85,,,
86,"Well, I think, Judy, what has to be appreciated is that, as a result of the disastrous and illegal behavior on Wall Street, millions of lives were hurt. People lost their jobs, their homes, their life savings. Turns out that the African-American community and the Latino community were hit especially hard. As I understand it, the African-American community lost half of their wealth as a result of the Wall Street collapse. So when you have childhood African-American poverty rates of 35 percent, when you have youth unemployment at 51 percent, when you have unbelievable rates of incarceration -- which, by the way, leaves the children back home without a dad or even a mother -- clearly, we are looking at institutional racism. We are looking at an economy in which the rich get richer and the poor get poorer. And sadly, in America today, in our economy, a whole lot of those poor people are African-American.",Sanders,Democratic
87,,,
88,"Absolutely, because what we will do is say, instead of giving tax breaks to billionaires, we are going to create millions of jobs for low-income kids so they're not hanging out on street corners. We're going to make sure that those kids stay in school or are able to get a college education. And I think when you give low-income kids -- African-American, white, Latino kids -- the opportunities to get their lives together, they are not going to end up in jail. They're going to end up in the productive economy, which is where we want them.",Sanders,Democratic
89,,,
90,,,
91,White people?,Sanders,Democratic
92,,,
93,,,
94,,,
95,"Look, I am deeply concerned about what's happening in every community in America, and that includes white communities, where we are seeing an increase in alcoholism, addiction, earlier deaths. People with a high school education or less are not even living as long as their parents lived. This is a remarkable and horrifying fact. And that's why I've come forward with, for example, a plan to revitalize coal country, the coalfield communities that have been so hard hit by the changing economy, by the reduction in the use of coal. You know, coal miners and their families who helped turn on the lights and power our factories for generations are now wondering, has our country forgotten us? Do people not care about all of our sacrifice? And I'm going to do everything I can to address distressed communities, whether they are communities of color, whether they are white communities, whether they are in any part of our country. I particularly appreciate the proposal that Congressman Jim Clyburn has -- the 10-20-30 proposal -- to try to spend more federal dollars in communities with persistent generational poverty. And you know what? If you look at the numbers, there are actually as many, if not more white communities that are truly being left behind and left out. So, yes, I do think it would be a terrible oversight not to try to address the very real problems that white Americans -- particularly those without a lot of education whose jobs have -- you know, no longer provided them or even no longer present in their communities, because we have to focus where the real hurt is. And that's why, as president, I will look at communities that need special help and try to deliver that.",Clinton,Democratic
96,,,
97,,,
98,"Yeah, you can, because African-Americans and Latinos not only face the general economic crises of low wages, and high unemployment, and poor educational opportunities, but they face other problems, as well. So, yes, we can talk about it as a racial issue. But it is a general economic issue. And here's what the economic issue is. The wages that high school graduates receive today are significantly less, whether you are white or black, than they used to be. Why is that? Because of a series of disastrous trade policies which have allowed corporate America through NAFTA and Permanent Normal Trade Relations with China, Secretary Clinton and I disagree on those issues. But view is those trade policies have enabled corporate America to shut down in this country, throw millions of people out on the street. Now no one thinks that working in the factory is the greatest job in the world. But you know what, you can make a middle class wage, you have decent health care, decent benefits. You once had a pension. Those jobs, in many cases, are now gone. They're off to China. Now you are a worker, white worker, black worker, who had a decent job, that manufacturing job is gone. What have you got now? You are working at McDonald's? That is why there is massive despair all over this country. People have worked their entire lives. They're making a half, two-thirds what they used to make. Their kids are having a hard time finding any work at all. And that's why this study, which shows that if you can believe it today, for white working class people between 45 and 54, life expectancy is actually going down. Suicide, alcoholism, drugs, that's why we need to start paying attention to the needs of working families in this country, and not just a handful of billionaires who have enormous economic and political power.",Sanders,Democratic
99,,,
100,,,
101,"The answer is yes. We've got 11 million undocumented people in this country. I have talked to some of the young kids with tears rolling down their cheeks, are scared to death that today they may or their parents may be deported. I believe that we have got to pass comprehensive immigration reform, something that I strongly supported. I believe that we have got to move toward a path toward citizenship. I agree with President Obama who used executive orders to protect families because the Congress, the House was unable or refused to act. And in fact I would go further. What would motivate me and what would be the guiding light for me in terms of immigration reform, Judy, is to bring families together, not divide them up. And let me say this also. Somebody who is very fond of the president, agrees with him most of the time, I disagree with his recent deportation policies. And I would not support those. Bottom line is a path towards citizenship for 11 million undocumented people, if Congress doesn't do the right thing, we use the executive orders of the president.",Sanders,Democratic
102,,,
103,"I strongly support the president's executive actions. I hope the Supreme Court upholds them. I think there is constitutional and legal authority for the president to have done what he did. I am against the raids. I'm against the kind of inhumane treatment that is now being visited upon families, waking them up in the middle of the night, rounding them up. We should be deporting criminals, not hardworking immigrant families who do the very best they can and often are keeping economies going in many places in our country. I'm a strong supporter of comprehensive immigration reform. Have been ever since I was in the Senate. I was one of the original sponsors of the DREAM Act. I voted for comprehensive immigration reform in 2007. Senator Sanders voted against it at that time. Because I think we have to get to comprehensive immigration reform with a path to citizenship. And as president I would expand enormous energy, literally call every member of Congress that I thought I could persuade. Hopefully after the 2016 election, some of the Republicans will come to their senses and realize we are not going to deport 11 or 12 million people in this country. And they will work with me to get comprehensive immigration",Clinton,Democratic
104,,,
105,"Secretary Clinton, I do have a disagreement here. If my memory is correct, I think when we saw children coming from these horrendous, horrendously violent areas of Honduras and neighboring countries, people who are fleeing drug violence and cartel violence, I thought it was a good idea to allow those children to stay in this country. That was not, as I understand it, the secretary's position. In terms of 2007 immigration reform, yeah, I did vote against it. I voted against it because the Southern Poverty Law Center, among other groups, said that the guest-worker programs that were embedded in this agreement were akin to slavery. Akin to slavery, where people came into this country to do guest work were abused, were exploited, and if they stood up for their rights, they'd be thrown out of this country. So it wasn't just me who opposed it. It was LULAC, one of the large Latino organizations in this country. It was the AFL-CIO. It was some of the most progressive members of the United States Congress who opposed it for that reason. But we are where we are right now. And where we are right now is we have got to stand up to the Trumps of the world who are trying to divide us up. What we have to do right now is bring our people together and understand that we must provide a path towards citizenship for 11 million undocumented people.",Sanders,Democratic
106,"Two quick responses. One, with respect to the Central American children, I made it very clear that those children needed to be processed appropriately, but we also had to send a message to families and communities in Central America not to send their children on this dangerous journey in the hands of smugglers. I've also called for the end of family detention, for the end of privately-run detention centers, along with private prisons, which I think are really against the common good and the rule of law. And with respect to the 2007 bill, this was Ted Kennedy's bill. And I think Ted Kennedy had a very clear idea about what needed to be done. And I was proud to stand with him and support it.",Clinton,Democratic
107,,,
108,,,
109,"Well, let me just respond. I worked with Ted Kennedy. He was the chairman of my committee. And I loved Ted Kennedy. But on this issue, when you have one of the large Latino organizations in America saying vote no, and you have the AFL-CIO saying vote no, and you have leading progressive Democrats, in fact, voting no, I don't apologize for that vote. But in terms of the children, I don't know to whom you're sending a message. Who are you sending a message to? These are children who are leaving countries and neighborhoods where their lives are at stake. That was the fact. I don't think we use them to send a message. I think we welcome them into this country and do the best we can to help them get their lives together.",Sanders,Democratic
110,,,
111,"Well, that just wasn't -- that just wasn't the fact, Senator. The fact is that there was a great effort made by the Obama administration and others to really send a clear message, because we knew that so many of these children were being abused, being treated terribly while they tried to get to our border. So we have a disagreement on this. I think now what I've called for is counsel for every child so that no child has to face any kind of process without someone who speaks and advocates for that child so that the right decision hopefully can be made.",Clinton,Democratic
112,,,
113,,,
114,"OK. You know, you judge a nation not by the number of millionaires and billionaires it has, but by how you treat, we treat, the most vulnerable and fragile people in our nation. And by those standards, we're not doing particularly well. We have the highest rate of childhood poverty among almost any major country on Earth. And in terms of seniors, there are millions of seniors -- and I've talked to them in my state of Vermont and all over this country -- who are trying to get by on $11,000, $12,000, $13,000 a year Social Security. And you know what? You do the arithmetic. You can't get by on $11,000, $12,000, $13,000 a year. And here's an area where Secretary Clinton and I believe we have a difference. I have long supported the proposition that we should lift the cap on taxable income coming into the Social Security Trust Fund, starting at $250,000.",Sanders,Democratic
115,,,
116,"And when we -- and when we do that, we don't do what the Republicans want, which is to cut Social Security. We do what the American people want, to expand Social Security by $1,300 a year for people under $16,000, and we extend the life of Social Security for 58 years. Yes, the wealthiest people, the top 1.5 percent, will pay more in taxes. But a great nation like ours should not be in a position where elderly people are cutting their pills in half, where they don't have decent nutrition, where they can't heat their homes in the wintertime. That is not what America should be about. If elected president, I will do everything I can to expand Social Security benefits, not just for seniors, but for disabled veterans, as well.",Sanders,Democratic
117,,,
118,"I think -- I think it's fair to say we don't have a disagreement. We both believe there has to be more money going into the Social Security system. I've said I'm looking at a couple of different ways, one which you mentioned, Senator, but also trying to expand the existing tax to passive income that wealthy people have so that we do get more revenue into the Social Security Trust Fund. I have a slightly different approach, though, about what we should do with that initially. First, rather than expand benefits for everyone, I do want to take care of low-income seniors who worked at low-wage jobs. I want to take care of women. When the Social Security program was started in the 1930s, not very many women worked. And women have been disadvantaged ever since. They do not get any credit for their care-taking responsibilities. And the people who are often the most hard-hit are widows, because when their spouse dies, they can lose up to one-half of their Social Security monthly payment. So we have no disagreement about the need to buttress Social Security, get more revenue into the program. But I want to start by helping those people who are most at risk, the ones who, yes, are cutting their pills in half, who don't believe they can make the rent, who are worried about what comes next for them.",Clinton,Democratic
119,In all due,Sanders,Democratic
120,,,
121,"...In all due respect, Secretary Clinton, a lot of the progressive groups, the online groups have really asked you a simple question. Are you coming onboard a proposal? And what is that proposal? Now, the proposal that I have outlined, you know, should be familiar to you, because it is what essentially Barack Obama campaigned on in 2008. You opposed him then. I would hope that you would come onboard and say that this is the simple and straightforward thing to do. We're asking the top 1.5 percent, including passive income, to start paying a little bit more so that the elderly and disabled vets in this country can live with security and dignity. I hope you will make a decision soon on this.",Sanders,Democratic
122,"Well, Senator, look, I think we're in vigorous agreement here. We both want to get more revenue in. I have yet to see a proposal that you're describing that the -- raising the cap would apply to passive income. That has not been...",Clinton,Democratic
123,That's my bill. Check it out.,Sanders,Democratic
124,"Well, that has not been a part of most of the proposals that I've seen. I'm interested in making sure we get the maximum amount of revenue from those who can well afford to provide it. So I'm going to come up with the best way forward. We're going to end up in the same place. We're going to get more revenue. I'm going to prioritize those recipients who need the most help first.",Clinton,Democratic
125,,,
126,,,
127,"I can't speak for the Koch Brothers, you're referring to a Super PAC that we don't coordinate with, that was set up to support President Obama, that has now decided that they want to support me. They are the ones who should respond to any questions. Let's talk about our campaigns. I'm very proud of the fact that we have more than 750 thousand donors, and the vast majority of them are giving small contributions. So, I'm proud of Senator Sanders, and his supporters. I think it's great that Senator Sanders, President Obama and I have more donors than any three people who have every run, certainly on the Democratic side. That's the way it should be, and I'm going to continue to reach out to thank all my online contributors for everything they are doing for me, to encourage them and help me do more just as Senator Sanders is. I think that is the real key here. We both have a lot of small donors. I think that sets us apart from a lot of what's happening right now on the Republican side. The Koch Brothers have a very clear political agenda. It is an agenda, in my view, that would do great harm to our country. We're going to fight it as hard as we can, and we're going to fight whoever the Republicans nominate who will depend on the Koch Brothers, and others.",Clinton,Democratic
128,,,
129,,,
130,"What we are talking about in reality is a corrupt campaign finance system, that's what we're talking about. We have to be honest about it. It is undermining American democracy. When extraordinarily wealthy people make very large contributions to Super PACs, and in many cases in this campaign, Super PACs have raised more money than individual candidates have, OK? We had a decision to make early on, do we do a Super PAC? And, we said no. We don't represent Wall Street, we don't represent the billionaire class, so it ends up I'm the only candidate up here of the many candidates who has no Super PAC. But, what we did is we said to the working families of this country, look, we know things are tough, but if you want to help us go beyond establishment politics, and establishment economics, send us something. And, it turns out that up until -- and this has blown me away, never in a million years would I have believed that I would be standing here tonight telling you that we have received three and a half million individual contributions from well over a million people. Now, Secretary Clinton's Super PAC, as I understand it, received $25 million dollars last reporting period, $15 million dollars from Wall Street. Our average contribution is $27 dollars, I'm very proud of that.",Sanders,Democratic
131,,,
132,,,
133,"We are mixing apples and oranges. My 750,000 donors have contributed more than a million and a half donations. I'm very proud. That, I think, between the two of us demonstrates the strength of the support we have among people who want to see change in our country. But, the real issue, I think, that the Senator is injecting into this is that if you had a Super PAC, like President Obama has, which now says it wants to support me. It's not my PAC. If you take donations from Wall Street, you can't be independent. I would just say, I debated then Senator Obama numerous times on stages like this, and he was the recipient of the largest number of Wall Street donations of anybody running on the Democratic side ever. Now, when it mattered, he stood up and took on Wall Street. He pushed through, and he passed the Dodd-Frank regulation, the toughest regulations since the 1930's. So, let's not in anyway imply here that either President Obama or myself, would in anyway not take on any vested interested, whether it's Wall Street, or drug companies, or insurance companies, or frankly, the gun lobby to stand up to do what's best for the American",Clinton,Democratic
