text,class
"the remark was made that there hadn't been anyone else on the podium opposed to the iraq war. i've made my career as being an opponent of the iraq war. i was opposed to the syria war. i was opposed to arming people who are our enemies. iran is now stronger because hussein is gone. hussein was the great bulwark and counterbalance to the iranians. so when we complain about the iranians, you need to remember that the iraq war made it worse. originally, governor bush was asked, was the iraq war a mistake, and he said, ""no. we'd do it again."" we have to learn sometimes the interventions backfire. the iraq war backfired and did not help us. we're still paying the repercussions of a bad decision.",1
"and i'll tell you what else. and i'll tell you what else i think. and that is, we have got -- and this is the difference between the secretary and myself as i understand it. we have got to have the guts to rethink the so-called war on drugs. too many lives...",0
"well, bret, of course they have, and over the last six and a half years we've seen the consequences of the obama-clinton foreign policy. leading from behind is a disaster. we have abandoned and alienated our friends and allies, and our enemies are stronger. radical islam is on the rise, iran's on the verge of acquiring a nuclear weapon, china is waging cyber warfare against america, russia -- general soleimani, you just mentioned, the iranian general is the head of the al quds forces. he's directly responsible for the murder of over 500 american servicemen in iraq, and part of this iranian deal was lifting the international sanctions on general soleimani. the day general soleimani flew back from moscow to iran was the day we believed that russia used cyber warfare against the joint chiefs. we need a new commander in chief that will stand up to our enemies, and that will have credibility...",1
"jim and i, under jim's leadership, as he indicated, passed the most significant veterans education bill in recent history. we followed suit with a few years later passing, under my leadership, the most significant veterans' health care legislation in the modern history of this country.",0
"20 ï¿_ over 40 percent of small and mid-size banks that loan money to small businesses have been wiped out over the ï¿_ since dodd-frank has passed. we need to repeal and replace dodd-frank. we need to make america fair again for all businesses, but especially those being run by small business owners.",1
"let me just tell you, let me just -- which happens to be true. check out the ratings. look, let me just tell you something. let me just tell you something. i want to release my tax returns but i can't release it while i'm under an audit. we're under a routine audit. i've had it for years, i get audited. and obviously if i'm being audited, i'm not going to release a return. as soon as the audit is done, i love it.",1
"you know, look. i feel a great deal of sympathy for the families of the four brave americans that we lost at benghazi. and i certainly can't even imagine the grief that she has for losing her son, but she's wrong. she's absolutely wrong. i and everybody in the administration, all the people she named, the president, the vice president, susan rice, we were scrambling to get information that was changing, literally by the hour. and when we had information, we made it public. but then sometimes we had to go back and say we have new information that contradicts it. so i testified for 11 hours.",0
"well, i agree, you know? we can't sit up here -- i can't sit up here and make judgment over whether or not somebody committed a criminal act. but, i will tell you this that after an investigation, if people, in fact, were found to have committed a criminal act -- i talked to a mother. imagine this for a second, imagine a mother who had a bright seven-year-old gregarious girl doing well in school. two years later, that child is now in special education, intellectual capabilities significantly deteriorated. that is a crime against that child, and the people of flint. and, clearly, people are going to have to be held accountable.",0
"well first of all, i want people to think about what kind of leader do you want and what kind of person do you want your kids to emulate. think about that. secondly, several years ago, a movie was made about these hands. these hands by the grace of god have saved many lives and healed many families. and i'm asking you tonight, america, to join hands with me to heal, inspire and revive america. if not us, who? and if not now, when?",1
"no, that was another 99 to one vote for the patriot act, and it was seen as at the time modernizing our ability to do what we've always done to tap phones which always required a warrant. and i voted for that.",0
"but -- but what you just read, yeah, i do believe that. israel was subjected to terrorist attacks, has every right in the world to destroy terrorism. but we had in the gaza area -- not a very large area -- some 10,000 civilians who were wounded and some 1,500 who were killed.",0
"i hope i can get that kind of time here. as a president of the united states, every life in this country matters. at the same time, i believe i can say to you, i have had a long history of working with the situation of african americans. we're talking about criminal justice reform, i risked my political life raising the issue of criminal justice reform when i ran for the senate in virginia in 2006. i had democratic party political consultants telling me i was committing political suicide. we led that issue in the congress. we started a national debate on it. and it wasn't until then that the republican party started joining in. i also represented a so-called war criminal, an african american marine who was wounded -- who was convicted of murder in vietnam, for six years. he took his life three years into this. i cleared his name after -- after three years.",0
"i kind of have to laugh when i think of, ""mmm, sounds like a non sequitur."" he was asked whether or not he would be capable and it would be in good hands to be in charge of the nuclear weapons, and all of a sudden, there's a sideways attack at me. i think that really goes to really the judgment. do we want someone with that kind of character, that kind of careless language to be negotiating with putin? do we want someone like that to be negotiating with iran? i think really there's a sophomoric quality that is entertaining about mr. trump, but i am worried. i'm very concerned about him -- having him in charge of the nuclear weapons, because i think his response, his -- his visceral response to attack people on their appearance -- short, tall, fat, ugly -- my goodness, that happened in junior high. are we not way above that? would we not all be worried to have someone like that in charge of the nuclear arsenal?",1
"no. but it is absolutely fair and necessary for americans to vet both of our proposals, to ask the really hard questions about, what is it we think we can accomplish, why do we believe that, and what would be the results for the average american family? in my case, whether it's health care, or getting us to debt-free tuition, or moving us toward paid family leave, i have been very specific about where i would raise the money, how much it would cost, and how i would move this agenda forward. i've tried to be as specific to answer questions so that my proposals can be vetted, because i feel like we have to level with people for the very reason, gwen, that you are mentioning. there is a great deal of skepticism about the federal government. i'm aware of that. it comes from the right, from the left, from people on all sides of the political spectrum. so we have a special obligation to make clear what we stand for, which is why i think we should not make promises we can't keep, because that will further, i think, alienate americans from understanding and believing we can together make some real changes in people's lives.",0
"... if i could, you know, in the very first debate i was asked am i a moderate or a progressive and i said i'm a progressive who likes to get things done. cherry picking a quote here or there doesn't change my record of having fought for racial justice, having fought for kids rights, having fought the kind of inequities that fueled my interest in service in the first place going back to my days in the children's defense fund. it certainly didn't stop me from taking on the drug companies and the insurance companies. before it was called hillarycare -- i mean, before it was called obamacare it was called hillarycare because we took them on, and we weren't successful, but we kept fighting and we got the children's health insurance program. every step along the way i have stood up, and fought, and have the scars to prove it. so,",0
"... we have a 98 percent approval rating from the people who took the course. we have an ""a"" from the better business bureau. and, people like it. now, he's saying they didn't learn. we have many, many people that will be witnesses. again, i don't settle cases. i don't do it because that's why i don't get sued very often, because i don't settle, unlike a lot of other people. we have a situation where we will win in",1
"absolutely, i agree. look, that bill had some sensible provisions in it. it had the banning of bullets that pierce policemen's armor. is that a good thing? i think we would want to get rid of that. particular legislation had safety locks on guns so the kids do not pick them up and shoot them. that bill had bad things in it. what i have said...",0
"and, maria, i will note, she's got a lot of experience, but her policies have proven disastrous. if you look at foreign policy, every region in the world has gotten worse. under her leadership, we abandon the nation of israel. under her leadership, radical islamic terrorism has been on to the rise. under her leadership, and obama's leadership, iran is getting $100 billion dollars, and on the verge of getting a nuclear weapon. everything she's put her hand to, or has touched -- and when we talk about the cronyism of washington, hillary clinton embodies the cronyism...",1
"all right. well, i'm trying to set a mark here so maybe we can get into a little more later on. this hasn't been equal time. but if you want to look at what has happened, if we look at the facts in terms of how we're going to deal with this, since that crash, in the last 10 years, the amount of the world's capital economy that wall street manages has gone from 44 percent to 55 percent. that means the wall street money managers are not risking themselves as the same way the american people are when they're going to get their compensation. they're managing money from all over the world. we have to take that into consideration when we're looking at ways to regulate it.",0
"in different forms. but i have great respect for the people i have met through this process. i've never done this process before. i've never been a politician. i mean, for the last six months i've been a politician. but i will tell you, i am totally committed to the republican party. i feel very honored to be the front runner.",1
"you know, i think, again, both of us share the goal of trying to make college affordable for all young americans. and i have set forth a compact that would do just that for debt-free tuition. we differ, however, on a couple of key points. one of them being that if you don't have some agreement within the system from states and from families and from students, it's hard to get to where we need to go. and senator sanders's plan really rests on making sure that governors like scott walker contribute $23 billion on the first day to make college free. i am a little skeptical about your governor actually caring enough about higher education to make any kind of commitment like that.",0
"you know, at the end of the day, i'm going to continue to talk about my record, because there is, did you ever notice when people run for office, they run for president, they make a lot of promises, they don't keep them.",1
"no, it's the same policy. it will have to end at some moment, and as i said, we will -- we will eliminate that executive order. the people that are on it now will not be allowed to renew it, and new applicants will not be allowed to apply to it. and it's not because we're not compassionate to the plight of a 2 -- someone who came here when they were 2 years old. i understand. i know people that are personally impacted by this. the problem with the executive order is it is unconstitutional. the president doesn't have the power to do that.",1
"i think the secretary and i mostly, i think, agree on this issue. look, in this country, immigration reform is a very hot debate. it's divided the country. but i would hope very much, that as we have that debate, we do not, as donald trump and others have done, resort to racism and xenophobia and bigotry.",0
"that's going to solve the problem. and, the insurance companies aren't going to say that, they want to keep it. they want to say -- they say whatever they have to say to keep it the way it is. i know the insurance companies, they're friends of mine. the top guys, they're friends of mine. i shouldn't tell you guys, you'll say it's terrible, i have a conflict of interest. they're friends of mine, there's some right in the audience. one of them was just waving to me, he was laughing and smiling. he's not laughing so much anymore. hi.",1
"but i feel that the gun-free zones and, you know, when you say that, that's target practice for the sickos and for the mentally ill. that's target. they look around for gun-free zones. you know, we could give you another example -- the marines, the army, these wonderful six soldiers that were killed. two of them were among the most highly decorated -- they weren't allowed on a military base to have guns. and somebody walked in and shot them, killed them. if they had guns, he wouldn't be around very long. i can tell you, there wouldn't have been much damage. so, i think gun-free zones are a catastrophe. they're a feeding frenzy for sick people.",1
"i would not want to go to that point. i would hope that, given the extraordinary capacities that the tech community has and the legitimate needs and questions from law enforcement, that there could be a manhattan-like project, something that would bring the government and the tech communities together to see they're not adversaries, they've got to be partners. it doesn't do anybody any good if terrorists can move toward encrypted communication that no law enforcement agency can break into before or after. there must be some way. i don't know enough about the technology, martha, to be able to say what it is, but i have a lot of confidence in our tech experts. and maybe the back door is the wrong door, and i understand what apple and others are saying about that. but i also understand, when a law enforcement official charged with the responsibility of preventing attacks -- to go back to our early questions, how do we prevent attacks -- well, if we can't know what someone is planning, we are going to have to rely on the neighbor or, you know, the member of the mosque or the teacher, somebody to see something.",0
"six million more people are living in poverty than the day that barack obama got elected president. six million more people. the middle class has had declining income, workforce participation rates are lower than they were in 1977. for the first time in modern history, more businesses are failing than are being created. that is what the next president will have to deal with. and i believe we can reverse course by creating a strategy of high sustained economic growth, not the new normal of 2 percent that all the left says we just have to get used to, but a 4 percent growth strategy where we reform how we tax, fix the broken regulatory system, embrace the energy revolution in our midst, fix the immigration system so we can turn it into an economic driver, deal with the structural fiscal problems that exist because of our entitlement problems that will overwhelm and create way too much debt. if we grow at 4 percent, people are going to be lifted out of poverty. the great middle that defines our country will have a chance to be able to pursue their dreams as they see fit. that should be the great challenge and the great opportunity for the next president of the united states, to forge consensus to go back to a high-growth strategy. and then we'll be able to lead the world. without a high-growth strategy, our country will never have the resources or the optimism to be able to lead the world, which the world desperately needs our leadership.",1
"that's exactly what we saw. so look, corporations ought to exercise some responsibility. when ceo income has risen 90 percent above the average worker, when the bottom 90 percent of this country's economy has had stagnant wages for the past 40 years, somebody is taking it in the teeth. and it's not the folks on wall street. i'm not anti-wall street, but i don't believe the government ought to wear a team jersey, pick winners and losers.",1
"well, you're right, the news is very disturbing that kim jong-un has put their nuclear weapons on ready state. i'm glad that we're sending another carrier group to the south china sea. i'm glad that congress passed sanctions on north korea. but this is all the result of the failures of the clinton administration two decades ago that negotiated a deal with north korea lifting the sanctions, allowing billions of dollars to flow in, and they used that money to develop nuclear weapons in the first place. what we -- now we're in a much harder position. when you have a lunatic with nuclear weapons, to some extent, it constrains your options. we need to be moving the carrier -- carrier group to the south china seas. we -- we need to be putting in place missile defense, such as the thaad missile defense system in south korea. we need to be pursuing space-based missile defense. one of the advantages of space-based missile defense is that if you have a missile launch in north korea or you have a missile launch in iran, a space-based missile defense can take out one or two or three missiles before it can cross over and do damage. and we also need to be putting pressure on china, because north korea is effectively a -- a client state of china. all of that will happen with a strong commander-in-chief that is devoted to keeping this country safe.",1
"i strongly support the president's executive actions. i hope the supreme court upholds them. i think there is constitutional and legal authority for the president to have done what he did. i am against the raids. i'm against the kind of inhumane treatment that is now being visited upon families, waking them up in the middle of the night, rounding them up. we should be deporting criminals, not hardworking immigrant families who do the very best they can and often are keeping economies going in many places in our country. i'm a strong supporter of comprehensive immigration reform. have been ever since i was in the senate. i was one of the original sponsors of the dream act. i voted for comprehensive immigration reform in 2007. senator sanders voted against it at that time. because i think we have to get to comprehensive immigration reform with a path to citizenship. and as president i would expand enormous energy, literally call every member of congress that i thought i could persuade. hopefully after the 2016 election, some of the republicans will come to their senses and realize we are not going to deport 11 or 12 million people in this country. and they will work with me to get comprehensive immigration",0
"it was a coalition made up of arabs and americans and westerners and we're going to need it again. and if we try to put everybody in the same -- call everybody the same thing, we can't do it. and that's just not acceptable. but i think a pause on syrian refugees has been exactly right for all the governors that have called for it, and also, of course, for me as the governor of ohio.",1
"well, i think it's pretty clear that they know that i will. you have two billionaire hedge fund managers who started a super pac and they're advertising against me in iowa as we speak. so they clearly think i'm going to do what i say i will do and you can look at what i did in the senate. i did introduce legislation to reign in compensation. i looked at ways that the shareholders would have more control over what was going on in that arena. and specifically said to wall street, that what they were doing in the mortgage market was bringing our country down. i've laid out a very aggressive plan to reign in wall street -- not just the big banks. that's a part of the problem and i am going right at them. i have a comprehensive, tough plan. but i went further than that. we have to go after what is called the shadow banking industry. those hedge funds. look at what happened in '08, aig, a big insurance company, lehman brothers, an investment bank helped to bring our economy down. so, i want to look at the whole problem and that's why my proposal is much more comprehensive than anything else that's been put forth.",0
"i was the grand marshall down 5th avenue a number of years ago for the israeli day parade, i have very close ties to israel. i've received the tree of life award and many of the greatest awards given by israel. as president, however, there's nothing that i would rather do to bring peace to israel and its neighbors generally. and i think it serves no purpose to say that you have a good guy and a bad guy. now, i may not be successful in doing it. it's probably the toughest negotiation anywhere in the world of any kind. ok? but it doesn't help if i start saying, ""i am very pro-israel, very pro, more than anybody on this stage."" but it doesn't do any good to start demeaning the neighbors, because i would love to do something with regard to negotiating peace, finally, for israel and for their neighbors. and i can't do that as well -- as a negotiator, i cannot do that as well if i'm taking big, big sides. with that being said, i am totally pro-israel.",1
"yes, well, roughly. let me say this. as a member of the health education committee that helped write the affordable care act, much of what secretary clinton said about what we have done, among other things, ending the obscenity of this pre-existing situation is a step forward. seventeen more million more people have health care. it is a step forward. a step forward. but this is what we also have to say. not only are deductibles rising, 29 million americans still have no health insurance and millions of people can't afford to go to the doctor. major crisis and primary health care. here is the bottom line. why is it that the united states of america today is the only major country on earth that does not guarantee health care to all people as a right? why is it...",0
"good question, but i want to tell you, my great concern is that we are on the verge, perhaps, of picking someone who cannot do this job. i've watched to see people say that we should dismantle medicare and medicaid and leave the senior citizens out -- out in the -- in the cold. i've heard them talk about deporting 10 or 11 -- people here from this country out of this country, splitting families. i've heard about tax schemes that don't add up, that put our kids in -- in a deeper hole than they are today. we need somebody who can lead. we need somebody who can balance budgets, cut taxes...",1
"well, thank you. this election, we have to decide the identity of america in the 2ist century, but as part of this primary, we have to find out our identity as a party and as a movement. thirty-six years ago, ronald reagan and george h.w. bush began the reagan revolution. for a generation, they defined conservatism as limited government and free enterprise and a strong national defense. but they also appealed to our hopes and our dreams. now we have to decide if we are still that kind of party and still that kind of movement, or if we're simply going to become a party that preys on people's angers and fears. i hope we remain that conservative movement that appeals to our hopes and our dreams and the belief that america will always be better in its future than it's been in its story history.",1
"anderson, no president -- no commander in chief -- should take the military option off the table, even if most of us would agree that it should be the last option. what disturbed people so much about -- and i would agree with senator sanders on this -- leading us into iraq under false pretenses and telling us, as a people, that there were weapons of mass destruction there was -- was one of the worst blunders in modern american history. but the reason why people remain angry about it is because people feel like a lot of our legislators got railroaded in a war fever and by polls. and i remember being at a dinner shortly before that invasion. people were talking at -- and saying, ""it'll take us just a couple years to rebuild democracy,"" and i thought, ""has this world gone mad?"" whenever we go -- and contrary to john quincy adams' advice -- ""searching the world for monsters to destroy,"" and when we use political might to take a -- at the expense of democratic principle, we hurt ourselves, and we hurt our (inaudible).",0
"... well, bret, i think we're all really there. i mean, the simple fact is that, you know, you all wrote me off. you wrote me off before i even got to new hampshire, then when i finished in new hampshire you wrote me off in the south, then you wrote me off in super tuesday. i split delegates in vermont with donald trump, i finished second in massachusetts, and we won delegates in virginia. but, guess what? it's now march madness and we're heading up north to the place -- to my turf, ok?",1
"i've actually been in politics all my life, although i've been on that side as opposed to this side. i'm now a politician for about three months. obviously, i'm doing pretty well. i'm number one in every poll by a lot. but the qualification is that i've dealt with people all over the world, been successful all over the world. everything i've done virtually has been a tremendous success. when markets changed, when things turned, i heard governor pataki, who, by the way, was a failed governor in new york, a very seriously failed -- he wouldn't be elected dog catcher right now. i heard what he had to say. and i will tell you this: atlantic city, i've made a tremendous amount of money in atlantic city. i left seven years ago, i've gotten great credit for my timing, and that's what i'm all about. i'm a businessman, did really well, really well, and jeb, what i want to do is put that ability into this country to make our country rich again. and i can do that, and i'm not sure that anybody else in the group will be able to do that.",1
"let me tell you this, mr. baker, in terms of the cyber attacks, we have the capability to not only have a defensive posture, but it also to make it clear to people that if you attack us with cyber attacks, we will destroy the mechanisms that you are using to attack us. i want to give you a little trip around the world. i served on the defense committee for 18 years. in the ukraine, arm the people there so they can fight for themselves. in the eastern part of europe, make sure that finland and the baltics know that if the russians move, we move. in syria, yes, a no-fly zone in the north on the turkish border, a no-fly zone on the south on the jordanian border. anybody flies in the first time, maybe they can fly out. they fly in there a second time, they will not fly out. and it also becomes a sanctuary for the people to be. and it also sends many messages in the middle east that we're still involved. saudi arabia, cut off the funding for the radical clerics, the ones that preach against us. but they're fundamentally our friends. jordan, we want the king to reign for 1,000 years. egypt, they have been our ally and a moderating force in the middle east throughout their history. in the groups -- in the countries of the gulf states of bahrain, the cleveland clinic is opening an operation. clearly we see the same with them. and in israel, we have no better ally in the world, and no more criticizing them in public, we should support them. and finally china, china doesn't own the south china sea, and i give the president some credit for being able to move a naval force in there to let the chinese know that we're not going to put up with it any more. and in the trade agreement, the tpp, it's critical to us, not only for economic reasons and for jobs, because there are so many people who are connected to getting jobs because of trade, but it allows us to create not only economy alliances, but also potentially strategic alliances against the chinese. they are not our enemy, but they are certainly not our friend. and finally, i will say to everyone in this room, we have been talking about taxes and economics. when the fall comes, and we run against hillary, which will be a disaster if she got elected. i have two 16-year-old girls, and i want this country to be strong. we make promises we can't keep under the bright light of the fall, we will have trouble. we must make sure that economic programs and our military programs are solid. i served in washington as the chairman of the budget committee, and we got the budget balanced. and in ohio, as the ceo, and guess what, we have got to have a ceo mentality and a way to beat hillary clinton and the democracies in the fall. and our ideas have to add up. they have to be solid. and people have to know we have the confidence to lead america. and as president, i will lead this country, as i have before in washington and in ohio, and will return both on domestic and international affairs. and i appreciate the opportunity to speak this time, gerry.",1
"let me -- let me answer your question on the sun-sentinel editorial today. back in 2004, one of my predecessors to the senate by the name of bob graham, a democrat, ran for president missing over 30 percent of his votes. i don't recall them calling for his resignation --",1
"well, i'm sorry i didn't answer that part. so the thing is that my -- my generation, someone my age would retire at 68. we would continue to allow it to increase the retirement age for future generations until it hit 70. and so my children would retire at 70. i would retire at 68. it would be a graduating scale over a period of time. but again i'm talking about people like myself and ted who are 45 years old. we're years away from retirement. for people that are on it now, we don't have to change it at all. if we don't do anything, we will have a debt crisis. it's not a question of if. it is a question of when. in less than five years, only 17 percent of our budget will remain discretionary; 83 percent of the federal budget in less than five years will all be spent on medicare, medicaid, the interest on the debt. that's -- all of it will be eaten up by that. that's a debt crisis. and it will be debilitating to our economy and our children deserve better than to inherit a debt crisis.",1
"you know, i find it really quite fascinating some of the president's proclamations. the fact of the matter is he doesn't realize that we now live in the 21st century, and that war is very different than it used to be before. not armies massively marching on each other and air forces, but now we have dirty bombs and we have cyber attacks and we have people who will be attacking our electrical grid. and, you know, we have a whole variety of things that they can do and they can do these things simultaneously. and we have enemies who are obtaining nuclear weapons that they can explode in our exoatmosphere and destroy our electric grid. i mean, just think about a scenario like that. they explode the bomb, we have an electromagnetic pulse. they hit us with a cyberattack simultaneously and dirty bombs. can you imagine the chaos that would ensue at that point? he needs to recognize that those kinds of things are in fact an existential threat to us. but here's the real key. we have the world's best military, even though he's done everything he can to diminish it. and the fact of the matter is if we give them a mission and we don't tie their hands behind their back, they can get it accomplished.",1
"well, i think it's perfectly fair to say that we invested quite a bit in development aid. some of the bravest people that i had the privilege of working with as secretary of state were our development professionals who went sometimes alone, sometimes with our military, into very dangerous places in iraq, in afghanistan, elsewhere. so, there does need to be a whole of government approach, but just because we're involved and we have a strategy doesn't mean we're going to be able to dictate the outcome. these are often very long- term kinds of investments that have to be made.",0
"i am not a pacifist, anderson. i supported the war in afghanistan. i supported president clinton's effort to deal with ethnic cleansing in kosovo. i support air strikes in syria and what the president is trying to do. yes, i happen to believe from the bottom of my heart that war should be the last resort that we have got to exercise diplomacy. but yes, i am prepared to take this country into war if that is necessary.",0
"...responding. all right? when this campaign began, i said that we got to end the starvation minimum wage of $7.25, raise it to $15. secretary clinton said let's raise it to $12. there's a difference. and, by the way, what has happened is history has outpaced secretary clinton, because all over this country, people are standing up and they're saying $12 is not good enough, we need $15 an hour.",0
"yeah, you can, because african-americans and latinos not only face the general economic crises of low wages, and high unemployment, and poor educational opportunities, but they face other problems, as well. so, yes, we can talk about it as a racial issue. but it is a general economic issue. and here's what the economic issue is. the wages that high school graduates receive today are significantly less, whether you are white or black, than they used to be. why is that? because of a series of disastrous trade policies which have allowed corporate america through nafta and permanent normal trade relations with china, secretary clinton and i disagree on those issues. but view is those trade policies have enabled corporate america to shut down in this country, throw millions of people out on the street. now no one thinks that working in the factory is the greatest job in the world. but you know what, you can make a middle class wage, you have decent health care, decent benefits. you once had a pension. those jobs, in many cases, are now gone. they're off to china. now you are a worker, white worker, black worker, who had a decent job, that manufacturing job is gone. what have you got now? you are working at mcdonald's? that is why there is massive despair all over this country. people have worked their entire lives. they're making a half, two-thirds what they used to make. their kids are having a hard time finding any work at all. and that's why this study, which shows that if you can believe it today, for white working class people between 45 and 54, life expectancy is actually going down. suicide, alcoholism, drugs, that's why we need to start paying attention to the needs of working families in this country, and not just a handful of billionaires who have enormous economic and political power.",0
